"locality_id","latitude","longitude"
"L3527564",10.4903438,76.4102125
"L3221298",10.4447665,76.4625692
"L4985583",10.2969534,77.7285612
"L3527565",10.5950615,76.3273001
"L3527569",10.6266133,76.32833
"L3545904",11.4991871,76.5211487
"L3545825",11.5282751,76.4816666
"L3548285",11.5312007,76.6475344
"L3548429",11.5086449,76.5994585
"L3545605",11.418746,76.712298
"L3482151",8.8575775,77.2175401
"L2609357",10.9819801,76.9543576
"L3557106",10.29689,76.56769
"L3789987",10.2990435,76.4497107
"L3556641",10.299,76.43545
"L3566971",10.3700293,76.9587994
"L3181717",10.106731,76.706017
"L3186709",11.101233,76.887622
"L3560376",11.736103,76.349838
"L3560373",11.736063,76.349716
"L3574369",10.5529857,76.2944376
"L3112729",10.304142,76.586134
"L3560354",11.705803,76.326309
"L3584477",10.5496614,76.2849641
"L3588666",11.0155038,76.4688805
"L3287277",11.87697,76.09508
"L3605776",10.433419,76.990189
"L3623907",18.3762625,73.7687405
"L3624043",10.117929,76.683922
"L3624045",10.117211,76.680687
"L3631454",10.37991,76.99722
"L3631540",10.38497,76.99453
"L3631623",10.396567,76.991427
"L3631936",10.450443,76.9800451
"L3632000",10.46027,76.985975
"L3631894",10.433761,76.987223
"L3633644",16.6227119,74.203881
"L3633661",16.6193361,74.2081243
"L3245687",10.11786,76.7593
"L2514984",9.576376,77.1803284
"L3633689",9.551096,77.091782
"L3633727",9.572755,77.091077
"L3633796",9.686133,76.905368
"L3585961",11.401901,76.696609
"L3641930",10.1696957,77.0639701
"L3649228",10.1647487,77.0554447
"L3641871",10.0750662,77.0757969
"L3515492",11.5464665,76.6782618
"L3648224",11.4165538,76.7308545
"L3648168",10.1156121,76.6737342
"L3656014",8.9286372,77.065562
"L3656025",8.9121822,77.0858073
"L3083624",9.5542539,76.9722453
"L3660805",11.253336,76.737306
"L3673503",10.0831788,77.0704432
"L3673846",10.0840511,77.0611525
"L3213972",10.03839,77.18205
"L3213975",10.03596,77.1369
"L3215308",10.6139459,77.2547114
"L3204140",11.4208312,76.6989577
"L3215293",11.46179,76.61043
"L3609090",10.9913934,76.768899
"L3374080",10.3346084,76.9632089
"L3202946",11.5310924,76.6480279
"L3675017",10.2855748,76.5575942
"L3683356",11.06513,76.53671
"L3676487",11.94391,76.06518
"L3231193",10.3516233,76.9611168
"L2709960",12.3088861,77.2767423
"L3633749",10.304,76.8538
"L3727574",10.2982173,76.8786764
"L3727615",10.2948,76.6705
"L3560370",11.703566,76.32859
"L3560386",11.707106,76.336929
"L3560385",11.705891,76.336914
"L3114168",19.0769413,73.5334682
"L3757635",13.3955544,75.0080921
"L3722945",10.2897224,76.9848275
"L3783776",10.3007325,76.7796707
"L3783773",10.2946522,76.6606236
"L3783688",10.301028,76.8806076
"L3783670",10.3312165,76.895113
"L3772616",10.107099,76.7063069
"L3791240",10.3529187,76.97191
"L3798258",10.5772173,76.2972164
"L3803824",10.6069949,76.3158202
"L3803771",10.5991611,76.3070056
"L3804058",18.344292,73.977548
"L3803969",18.34501,73.859812
"L3829452",11.9689253,77.1084452
"L3805750",10.30797,76.86471
"L2573077",12.7522043,77.3002982
"L3803913",11.468585,76.3777685
"L3805686",11.4843354,76.5145934
"L3812594",10.545555,76.2937081
"L3812617",10.5584861,76.3174188
"L3819758",11.73012,77.11367
"L3822433",10.3037303,76.5797174
"L3905260",10.823822,76.7209733
"L2514920",10.8333333,76.6833333
"L3133354",10.3691851,76.9930887
"L3829733",10.4507173,76.9840121
"L3831013",11.9426571,76.0447025
"L3836148",10.3764304,76.420362
"L3838228",10.4691424,77.0662165
"L3836234",15.1867233,74.0941438
"L3223215",10.4625695,77.0666564
"L3838536",10.5286882,77.0798206
"L3297204",11.2263889,76.7436111
"L3822502",10.3093724,76.6297325
"L3840920",10.3031392,76.6038305
"L3840775",10.2951167,76.5651047
"L3840591",10.2898808,76.560384
"L3844016",11.19278,76.72702
"L3844147",11.2648332,76.8214314
"L3846525",10.281774,76.84849
"L3846565",10.285773,76.844005
"L3846586",10.285804,76.844942
"L3846832",10.293734,76.82105
"L3846834",10.294398,76.821693
"L3846836",10.291921,76.820102
"L3846861",10.291811,76.81807
"L3847486",10.5917079,76.4196539
"L2594370",10.3309631,77.0210695
"L3854753",10.573,76.344
"L4310881",10.5766138,76.3798824
"L3856477",10.4796541,76.3473845
"L3677350",10.2836525,76.8586993
"L3313216",11.9878325,77.1439254
"L3853003",13.20013,75.69591
"L3864940",10.27986,76.869191
"L3864972",10.276288,76.865069
"L3864978",10.27628,76.865842
"L3864994",10.27438,76.865323
"L3865131",10.277317,76.86741
"L3862911",10.364762,76.974177
"L3834093",9.26037,76.99129
"L3854929",9.26155,76.99421
"L7003001",20.9704112,73.7208796
"L3870374",10.3524666,76.9537568
"L3847132",9.5688435,76.8177393
"L3873277",11.9858437,77.1427131
"L3875313",11.999021,77.149155
"L3861213",11.9349761,76.0043688
"L3877317",10.8598596,76.6228151
"L3877452",10.8257451,76.6703144
"L3879785",9.5695682,76.8151188
"L3879934",10.3490115,76.9963825
"L3880047",11.3858859,76.0757947
"L3881513",10.6372423,76.2788916
"L3883142",15.764922,74.09305
"L3883134",15.788861,74.112078
"L3883506",8.6857998,77.1101899
"L3883271",8.6859695,77.109502
"L3883222",8.6866164,77.1075091
"L3883205",8.6881331,77.1038693
"L3883563",8.6970206,77.0914105
"L3884884",8.6856089,77.1105587
"L3883226",8.6859642,77.1087214
"L3889468",10.3196059,76.6667068
"L3889480",10.3057148,76.6707087
"L3889569",10.3027592,76.7070794
"L3112733",10.287636,76.736917
"L3891451",10.3086071,76.5533406
"L3891521",10.321738,76.5723145
"L3891531",10.3357761,76.5942335
"L3890990",10.315104,76.634428
"L3893603",10.3369583,76.6386938
"L3891463",10.375,76.667
"L3891940",10.278125,76.853196
"L3892033",10.2771708,76.7535567
"L3892208",10.259984,76.6980779
"L3888800",10.294944,76.825413
"L3888828",10.28164,76.849132
"L3888819",10.28219,76.847807
"L3888810",10.281655,76.849351
"L3888804",10.293945,76.821533
"L3889379",10.303615,76.775677
"L3889389",10.30252,76.77535
"L3889385",10.300533,76.779931
"L3889376",10.300053,76.779604
"L3889374",10.296201,76.778413
"L3888869",10.295079,76.77975
"L3889371",10.293501,76.778782
"L3888874",10.29212,76.777457
"L3888861",10.288872,76.776482
"L3888859",10.288184,76.776125
"L3888854",10.28763,76.775861
"L3888852",10.288784,76.776108
"L3888849",10.288631,76.775979
"L3888842",10.296399,76.778892
"L4862175",10.276664,76.8093252
"L3893684",10.2712167,76.7814946
"L3893615",10.3585736,76.5888369
"L3893618",10.354,76.667
"L3893668",10.3031392,76.5930587
"L3893710",10.3351006,76.5841055
"L3893711",10.3288522,76.5858865
"L3112727",10.293356,76.561552
"L3893691",10.3079948,76.7204046
"L3893678",10.3031603,76.7273462
"L3893676",10.3049337,76.728116
"L3893671",10.2952856,76.6465795
"L3891315",10.30218,76.60378
"L3891317",10.30319,76.60286
"L3891319",10.30384,76.59388
"L3891320",10.30351,76.59335
"L3895210",10.542,76.406
"L3895197",10.531,76.385
"L3605987",11.3367009,76.8699431
"L3897865",10.3919223,76.5194428
"L3897889",10.3444942,76.4680517
"L3881541",10.5461245,76.6220641
"L3892016",10.4918418,76.6853106
"L3891964",10.5208198,76.6310173
"L3901462",10.3612631,76.4635992
"L3896967",10.448,76.448
"L3897872",10.3794697,76.4969337
"L3896824",10.6458334,76.2916667
"L3903364",10.029745,76.889464
"L3903365",10.01374,77.010442
"L3903298",10.4723483,76.4532137
"L3903323",10.4408496,76.4587283
"L3903313",10.4538,76.4603
"L3903668",10.5306825,76.6225576
"L3904965",10.448,76.417
"L3896994",10.438,76.51
"L3904986",10.5233409,76.6523838
"L3896978",10.448,76.479
"L3897020",10.51,76.396
"L3905139",10.3024847,76.4999163
"L3903368",9.996514,77.043565
"L3903367",10.00811,77.032229
"L3905288",10.085574,77.060196
"L3905289",10.13688,77.059288
"L3905290",10.11897,77.05716
"L3905291",10.125517,77.053462
"L3905294",10.06808,77.067389
"L3905413",10.3112249,76.4818704
"L3906437",10.34831,76.50493
"L3906740",10.4112,76.4426
"L3906904",10.049565,77.038357
"L3906391",10.31989,76.44649
"L3906825",10.3798,76.4632
"L3906670",10.4109,76.4743
"L3906637",10.4243545,76.4129162
"L3913008",10.33316,76.81218
"L3913016",10.33409,76.81196
"L3913018",10.33488,76.81038
"L3913022",10.33591,76.81029
"L3819684",11.7438277,76.076653
"L3912660",10.11578,76.67448
"L3913455",10.3421089,76.5100336
"L3913227",10.32865,76.83535
"L3904952",10.5060832,76.6734552
"L3287683",10.1237976,76.6793829
"L3910248",10.3116893,76.4659703
"L3086766",10.3035095,76.6342092
"L3915745",10.299517,76.43717
"L3913257",10.126762,76.685021
"L3913258",10.11721,76.670103
"L3358421",10.4488048,76.9840336
"L2930824",10.4508597,76.9840524
"L3916668",10.28578,76.66911
"L3916667",10.30171,76.78636
"L3913263",10.140287,76.696503
"L3648186",10.1024257,76.7133651
"L3914539",10.091864,76.723366
"L3914264",10.594,76.354
"L3914280",10.583,76.323
"L3914787",10.51,76.438
"L2605711",10.9775944,76.5462112
"L2837951",10.3534601,76.9719127
"L3919969",10.406,76.531
"L3919994",10.417,76.521
"L3916826",10.365195,76.974059
"L3916827",10.353341,76.999313
"L3916828",10.427682,76.988328
"L2794877",11.3884522,76.681931
"L3918915",11.528465,76.642671
"L3918919",11.539029,76.63925
"L3920349",11.560311,76.64443
"L3920350",11.538011,76.61239
"L2431461",11.5705836,76.6400242
"L3357294",10.96655,76.96634
"L3938044",11.39208,76.36046
"L3915620",10.279549,76.852105
"L3915625",10.278266,76.854108
"L3915626",10.278536,76.85316
"L3915627",10.302927,76.758329
"L3915623",10.301227,76.603819
"L3915616",10.298834,76.569988
"L3915259",10.299296,76.437095
"L3785413",10.2134165,77.1971292
"L3942618",10.13156,77.23028
"L3942641",10.18022,77.19034
"L3942636",10.21303,77.18949
"L3191708",10.3068544,77.2047043
"L3942623",10.30679,77.22274
"L3942653",10.30695,77.2227
"L3940386",10.9591718,76.9408178
"L3944800",10.0350341,77.1141154
"L3895431",10.0559943,77.1158266
"L3948220",11.416579,76.868722
"L3948211",11.3543619,76.942749
"L2933116",11.4351619,76.8737197
"L4127890",10.1963436,76.5621623
"L3953109",10.2007387,76.5605342
"L3953702",10.3838219,77.3726106
"L3957329",9.18522,76.96546
"L3957346",9.1826648,76.9178503
"L3964597",10.3234113,76.950168
"L3964601",10.2876754,76.9704938
"L3964614",10.302814,77.0294152
"L3964605",10.2837906,76.9831967
"L3969157",10.32907,76.95374
"L3973104",10.4443708,76.8134773
"L3973072",10.5308099,76.370894
"L3973058",10.5314466,76.3704139
"L3973236",10.44629,76.8109721
"L3973178",10.4445214,76.8070292
"L3594611",10.3072771,77.2035241
"L3974916",10.0852395,77.0605349
"L2431772",10.1264782,77.2575749
"L3883292",18.50642,74.00051
"L3978075",9.622389,76.881346
"L3976080",10.74486,77.10348
"L3226875",10.3496701,76.9727254
"L2502929",11.0925172,76.7866176
"L3980712",10.1301425,76.6870044
"L3027183",10.3505313,77.2212589
"L3120209",9.5187,77.1483
"L3341415",10.4956837,76.7099923
"L3992920",12.92346,75.86355
"L3992907",12.84427,75.678
"L3992928",12.83195,75.54272
"L3992898",12.82789,75.57251
"L3992952",12.91968,75.75761
"L3999800",11.0211846,76.849494
"L3992908",12.85683,75.85466
"L2782079",15.4392603,74.233675
"L4434552",10.3261273,76.9506857
"L4007981",15.2866342,74.5298672
"L4010175",10.2921636,76.5405129
"L4008562",15.1850866,74.2161226
"L3644375",18.725014,73.669228
"L3896608",17.516553,73.528361
"L4018226",11.30909,76.94561
"L4018192",11.26545,76.81241
"L2612160",12.5388127,77.4119854
"L4020737",13.2906546,75.0594091
"L3134827",12.481895,75.8607674
"L4025854",11.9948902,77.1462214
"L2694836",15.5683089,74.2297
"L4042038",11.0385391,76.8765306
"L4042070",11.04143,76.868012
"L3319172",11.0460603,76.8520563
"L4043915",11.9423072,77.1045399
"L4043356",11.53602,77.25974
"L3905328",10.521,76.427
"L4058558",13.0690276,75.6792676
"L4058553",13.1676072,75.6519735
"L4058379",13.4269401,75.7426643
"L4058388",13.4329092,75.7556677
"L4058458",13.3531075,75.7621264
"L4058314",13.3714582,75.7444239
"L4058531",13.2672228,75.714941
"L3080944",11.0625174,76.5382478
"L4064308",9.2451576,76.9219834
"L4068648",18.7601794,73.3784339
"L4078642",11.4229373,76.8660539
"L3006322",10.449103,76.9733208
"L4084189",10.6369049,76.3067651
"L4073695",10.8371838,76.6777468
"L4091787",10.0369206,76.8057333
"L3803892",10.2287857,77.4919338
"L3803895",10.2309237,77.4913198
"L3508707",13.364021,75.5607221
"L4096112",11.4099494,76.7096651
"L3287700",18.496237,73.5150774
"L3678933",18.4459576,73.4265895
"L3802518",10.2421153,77.5369093
"L4103253",10.2944306,77.7334778
"L4103321",10.3069,77.748518
"L4106824",10.2688379,77.2799206
"L4070468",18.30247,74.039466
"L4137136",10.1429571,77.0397806
"L4127867",10.0079949,77.048664
"L4139745",15.2770122,74.5361282
"L3689017",15.1662387,74.6325987
"L4143627",14.9008043,74.3305832
"L3679907",15.2824202,74.5331597
"L3916716",9.4533798,76.9535208
"L4152959",13.47773,75.211221
"L4155205",13.3373862,75.8175731
"L3169431",10.3406313,76.9215703
"L4146636",10.2835547,76.9826925
"L3874264",13.5180912,75.0893666
"L2570313",11.9023233,77.1220118
"L4022376",10.8457823,76.7234516
"L4171338",10.2830902,76.9789159
"L4171312",10.2848292,76.9836688
"L4171320",10.283238,76.980654
"L4171284",10.287425,76.9835776
"L4170310",11.8374466,75.8584929
"L3287763",11.8488698,75.9158385
"L4178978",10.268303,76.9688845
"L4183554",10.625502,76.3731198
"L4184342",10.6190794,76.3853962
"L4175720",11.5338799,76.647703
"L4175828",11.5738508,76.6463677
"L4173780",11.7206241,76.6275753
"L4175759",11.5335416,76.6477977
"L4190166",10.2657693,76.966964
"L3722270",14.18625,74.79979
"L2521020",12.2204721,75.655514
"L3870376",9.5578935,76.9581878
"L2816442",9.5753047,77.0139992
"L4192561",9.5788833,76.9856054
"L4192564",9.5747786,77.0117864
"L3982249",10.9648175,76.9651079
"L4001345",10.537391,77.2186732
"L4195654",10.5465465,77.2144032
"L4195500",10.5691436,77.228651
"L3917000",11.9110674,77.0782971
"L3358928",10.4514214,76.9831538
"L4186934",10.6361984,76.3648134
"L4199838",10.2690209,76.9670606
"L3083561",9.5506461,76.9149828
"L4201987",9.6456001,77.2357321
"L3564730",11.3536936,76.8355894
"L4205636",9.5414625,76.96845
"L3905012",10.6501063,76.3290381
"L4127979",11.0212412,76.8483463
"L4209393",12.528341,77.6423487
"L2766479",10.9719279,76.9058901
"L4212360",10.3020834,76.59375
"L4205709",10.2874739,76.5560603
"L4214027",10.2716232,76.9728515
"L4209067",10.5537556,76.3504542
"L4215882",10.969573,76.930952
"L4199853",10.2827447,76.9796133
"L4219918",10.3020834,76.6354167
"L4221854",12.470703,75.8863794
"L4221921",12.4727409,75.8888555
"L4218096",12.4709854,75.8865058
"L4880041",10.11754,76.67223
"L4166134",10.1043528,76.6996014
"L3492754",15.2770646,74.5358849
"L4226118",10.356,76.615
"L3891313",10.30327,76.60641
"L4209328",15.9592,73.9945
"L4159300",18.4437464,73.8627791
"L4064175",11.3589118,76.7308529
"L4228749",10.3425311,76.5965724
"L4228703",10.3255062,76.5807849
"L4216234",10.2821957,76.9790769
"L4234306",15.9333525,73.927591
"L4192880",9.5131791,77.4526262
"L3146422",9.4921937,77.4774742
"L4248431",10.3710523,76.4316702
"L3971818",18.4924421,74.0255463
"L4249245",9.5506038,76.9385648
"L3138417",11.7860305,76.2573051
"L4268156",10.2823646,76.8478417
"L4268196",10.2810556,76.8653083
"L2569908",11.9671124,75.9838821
"L4277966",10.0169051,76.7749822
"L4282195",9.5114038,77.4519835
"L3083670",9.5818772,76.9709229
"L3674228",11.8842546,75.9649283
"L3562275",9.4260319,77.3872232
"L4278662",11.06897,76.594259
"L3140760",11.7154437,76.3968658
"L3287278",11.92672,76.10681
"L3140723",11.9473035,76.089077
"L4259275",15.1086282,74.1477585
"L3968766",10.9759591,76.9198644
"L4295197",12.556132,77.424842
"L4258279",10.4448068,76.9857435
"L4443928",11.1023151,76.7593718
"L4228933",10.3016403,76.6034737
"L4295709",10.3001322,76.6090392
"L4298888",10.4723957,76.3470304
"L4298911",10.4655036,76.3790774
"L4174512",11.8469391,75.6933546
"L4309473",8.64062,77.13021
"L4278016",11.4788839,76.6839936
"L2974417",18.4105896,73.9040422
"L4214035",10.2869461,76.9836313
"L4298952",10.3000724,76.6126013
"L3450469",10.1105,76.6697216
"L2572732",11.9493188,75.860836
"L4348318",12.4179763,77.8558373
"L2870171",12.286739,77.858675
"L3639833",12.413188,77.931408
"L4343270",9.0817661,77.1714607
"L4343257",9.0879055,77.1350326
"L4343247",9.1250844,77.0531082
"L4343233",9.1315163,77.152127
"L4343194",9.1639366,76.9407961
"L4349112",9.170666,76.928284
"L4349089",9.1761,76.926229
"L4350921",8.9667765,77.0547152
"L4348503",8.966573,77.0560455
"L4348499",8.964746,77.0581806
"L4348487",8.9603903,77.061131
"L4348478",8.9595297,77.0616996
"L4348462",8.957993,77.0646608
"L4350943",8.9688961,77.0504236
"L4350954",8.9683005,77.0502412
"L4350951",8.9681902,77.0499945
"L4305736",8.4328495,77.2427418
"L4381426",10.6370047,76.2795568
"L3971398",11.3411048,76.5965819
"L4388517",10.1038246,76.7004919
"L4406313",8.434703,77.234566
"L4411957",10.37738,76.996512
"L4411952",10.3744752,76.9945693
"L4411942",10.371115,76.993533
"L4411940",10.3675232,76.9934106
"L4411928",10.3655546,76.9862652
"L4411934",10.365346,76.989282
"L4411919",10.359889,76.975207
"L4414841",8.4331549,77.2350816
"L4411775",8.4303786,77.2395086
"L4417377",10.420704,76.944396
"L4417374",10.415383,76.949572
"L4414587",10.405293,76.9569822
"L4417369",10.40931,76.952854
"L4414576",10.4015963,76.963284
"L4414573",10.39532,76.971372
"L4414567",10.393662,76.974663
"L4414563",10.392568,76.981631
"L4414560",10.395193,76.979863
"L4414540",10.388146,76.986295
"L4414537",10.382971,76.988905
"L4414502",10.384678,76.99374
"L4414486",10.384157,76.996896
"L4420001",10.4196111,76.9927778
